Recipe,Cat,Subcat,Calories,Kilojoules,Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Total Sugars,Protein,Calcium,URL
Easy All-Veggie Spaghetti,Vegetarian,Pasta,134,561,1.2,0.2,0,397,22.5,6.4,6,10.7,60,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Easy-All-Veggie-Spaghetti_Y2lkPTQxJnNpZD03NiZyaWQ9NTcw.html
"
Fish Sticks,Fish and Shellfish,Fish Dishes,147,615,2,0.5,51,363,11,0.3,0.5,21,25,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Fish-Sticks_Y2lkPTQxJnNpZD03NiZyaWQ9NTg4.html
"
Frozen California Apricot Pops,Desserts,Frozen Desserts,68,285,0,0,0,6,17.5,2,15.2,0.9,17,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Frozen-California-Apricot-Pops_Y2lkPTQxJnNpZD03NiZyaWQ9NzA5.html
"
Fun Fries,Salads and Vegetables,Vegetable Dishes,201,841,5,1,5,130,33,3,3.3,6,102,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Fun-Fries_Y2lkPTQxJnNpZD03NiZyaWQ9NTE4.html
"
Giggly Jiggly Grape Fun,Salads and Vegetables,Salads,87,364,0.5,0.2,0,19,21.5,0.8,21,0.9,9,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Giggly-Jiggly-Grape-Fun_Y2lkPTQxJnNpZD03NiZyaWQ9NjAy.html
"
Healthy Soy Sloppy Joes,Vegetarian,Vegetarian Dishes,292,1220,6.9,0.6,0,571,41.9,6.5,18.2,12.8,90,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Healthy-Soy-Sloppy-Joes_Y2lkPTQxJnNpZD03NiZyaWQ9OTA5.html
"
Ice Cream Cupcakes,Desserts,Frozen Desserts,196,818,6.7,3.7,10,102,29.7,0.9,22.4,3.8,109,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Ice-Cream-Cupcakes_Y2lkPTQxJnNpZD03NiZyaWQ9MTAwMg.html
"
Layered Apple and Blueberry Dessert,Desserts,Cold Desserts,300,1283,11,0.6,0,72,37.5,3,27,1.8,245,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Layered-Apple-and-Blueberry-Dessert_Y2lkPTQxJnNpZD03NiZyaWQ9NTkw.html
"
Lemon Cherry Parfaits,Desserts,Cold Desserts,192,804,8,4,126,54,26,2.4,22,6,139,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Lemon-Cherry-Parfaits_Y2lkPTQxJnNpZD03NiZyaWQ9NjE2.html
"
Marvelicious Mac and Cheese,Pasta and Grains,Pasta and Noodle Dishes,266,1112,6.6,3.8,18,360,34.9,1.3,5.8,17.3,355,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Marvelicious-Mac-and-Cheese_Y2lkPTQxJnNpZD03NiZyaWQ9OTcy.html
"
Non-Fat Vanilla Ice Cream,Desserts,Frozen Desserts,58,243,0.1,0,1,37,11,0,9.4,2,75,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Non-Fat-Vanilla-Ice-Cream_Y2lkPTQxJnNpZD03NiZyaWQ9MzI2.html
"
Orange Creamsicles,Desserts,Frozen Desserts,138,578,2.5,1.4,7,47,26.2,0.2,25.3,3.9,119,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Orange-Creamsicles_Y2lkPTQxJnNpZD03NiZyaWQ9Nzk5.html
"
PA Dutch Chicken Corn Soup,"Soup, Stew and Chili","Warm Soup, Stew and Chili",336,1407,5.3,1.3,100,582,44,3.6,5,31,7,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/PA-Dutch-Chicken-Corn-Soup_Y2lkPTQxJnNpZD03NiZyaWQ9NTcx.html
"
Peach Melba,Desserts,Cold Desserts,210,879,0.8,0.8,2,40,51,5,41,4,122,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Peach-Melba_Y2lkPTQxJnNpZD03NiZyaWQ9NTUz.html
"
Potato and Zucchini Patties,Vegetarian,Vegetarian Dishes,295,1233,7,2,200,152,47,12,7,10,216,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Potato-and-Zucchini-Patties_Y2lkPTQxJnNpZD03NiZyaWQ9NTcz.html
"
Rutabaga Fries,Salads and Vegetables,Vegetable Dishes,97,406,2,0.2,0,48,20,6,13.5,3,114,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Rutabaga-Fries_Y2lkPTQxJnNpZD03NiZyaWQ9NjAx.html
"
Salmon Burgers with Sweet Potato Oven Fries,Fish and Shellfish,Fish Dishes,493,2060,12.8,1.6,73,704,53.8,7.6,11.9,40.4,148,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Salmon-Burgers-with-Sweet-Potato-Oven-Fries_Y2lkPTQxJnNpZD03NiZyaWQ9MTAwMA.html
"
Simple California Cling Peach Sorbet,Desserts,Frozen Desserts,62,260,0,0,0,6,16.4,1.8,14.6,0.9,9,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Simple-California-Cling-Peach-Sorbet_Y2lkPTQxJnNpZD03NiZyaWQ9NzA4.html
"
Simple Fish Taco,Fish and Shellfish,Fish Dishes,364,1524,11,4,38,656,44,3,3,21.4,55,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Simple-Fish-Taco_Y2lkPTQxJnNpZD03NiZyaWQ9NTk5.html
"
Squash and Cherry Bake,Vegetarian,Vegetarian Dishes,259,1081,11,4,15,53,42,5,16,3,115,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Squash-and-Cherry-Bake_Y2lkPTQxJnNpZD03NiZyaWQ9NjE1.html
"
Strawberry Cheesecake Bites,Desserts,Cold Desserts,65,654,1,0.3,2,136,11,1,7,3,44,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Strawberry-Cheesecake-Bites_Y2lkPTQxJnNpZD03NiZyaWQ9NTY4.html
"
Strawberry Rhubarb Crisp,Desserts,Warm Desserts,323,1352,10,5,23,128,58,3,41,3,65,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Strawberry-Rhubarb-Crisp_Y2lkPTQxJnNpZD03NiZyaWQ9NTc4.html
"
Strawberry and Yogurt Sorbet,Desserts,Frozen Desserts,161,675,0.7,0.4,3,42,37.1,0.7,36.1,3.1,76,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Strawberry-and-Yogurt-Sorbet_Y2lkPTQxJnNpZD03NiZyaWQ9MTI2.html
"
Summer Strawberry Orange Cups,Desserts,Cold Desserts,93,934,0,0,1,38,19,1,17,3,90,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Summer-Strawberry-Orange-Cups_Y2lkPTQxJnNpZD03NiZyaWQ9NTQ3.html
"
Tropical Fruit Salad,Salads and Vegetables,Salads,152,636,1,0.4,2,20,36.5,2.7,25.5,2.4,67,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Tropical-Fruit-Salad_Y2lkPTQxJnNpZD03NiZyaWQ9NTc1.html
"
Tropical S'mores,Desserts,Warm Desserts,269,1367,7.2,3,10,249,53.3,0.9,28.8,2.6,45,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Tropical-Smores_Y2lkPTQxJnNpZD03NiZyaWQ9OTYz.html
"
Tuna and Corn Patties,Fish and Shellfish,Fish Dishes,143,598,3,0.9,44,192,17.8,2.4,1.1,11.6,45,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Tuna-and-Corn-Patties_Y2lkPTQxJnNpZD03NiZyaWQ9MTY3.html
"
Tuna-Mayo Wrap,Fish and Shellfish,Fish Dishes,250,1047,3.4,0.4,33,525,26,4.6,2,31.3,20,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Tuna-Mayo-Wrap_Y2lkPTQxJnNpZD03NiZyaWQ9Mzk.html
"
Turkey or Chicken Noodle Soup,"Soup, Stew and Chili","Warm Soup, Stew and Chili",134,561,1,0.6,35,490,14,2,3,18,37,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Turkey-or-Chicken-Noodle-Soup_Y2lkPTQxJnNpZD03NiZyaWQ9NTY1.html
"
Vegetable Burgers,Vegetarian,Vegetarian Dishes,184,768,6.3,3.3,116,283,17.8,1.8,4.6,15.6,173,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Vegetable-Burgers_Y2lkPTQxJnNpZD03NiZyaWQ9NTAw.html
"
Vegetable Pockets,Vegetarian,Vegetarian Dishes,100,418,7.4,0.6,0,60,8.2,3.1,4.8,1.8,23,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Vegetable-Pockets_Y2lkPTQxJnNpZD03NiZyaWQ9MTA1.html
"
Watermelon Blueberry Banana Split,Desserts,Cold Desserts,173,724,1.3,0.4,1,38,42,4,27,3.4,70,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Watermelon-Blueberry-Banana-Split_Y2lkPTQxJnNpZD03NiZyaWQ9NzI3.html
"
Watermelon Pie A La Mode,Desserts,Cold Desserts,199,831,1.8,0.4,3,224,44.9,1,28.7,4.3,74,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Watermelon-Pie-A-La-Mode_Y2lkPTQxJnNpZD03NiZyaWQ9ODk1.html
"
Watermelon Snow Cones,Desserts,Frozen Desserts,160,667,5.9,4.7,5,45,24.7,1.2,21.6,3.8,88,"https://www.calorieking.com/recipes/Childrens-Recipes/Healthy-Recipes-for-Children/Watermelon-Snow-Cones_Y2lkPTQxJnNpZD03NiZyaWQ9ODk4.html
"
Basic Artichoke Preparation,Salads and Vegetables,Vegetable Dishes,25,105,0,0,0,75,6,3,1,2,20,"https://www.calorieking.com/recipes/Cooking-How-Tos/Cooking-Preparation-and-Basic-How-Tos/Basic-Artichoke-Preparation_Y2lkPTQzJnNpZD05NyZyaWQ9NTQz.html
"
Basic Bean Preparation,Vegetarian,Casseroles,240,1005,1,0.2,0,2,45,15,0.5,15,78,"https://www.calorieking.com/recipes/Cooking-How-Tos/Cooking-Preparation-and-Basic-How-Tos/Basic-Bean-Preparation_Y2lkPTQzJnNpZD05NyZyaWQ9NTgz.html
"
Basic Mango Preparation,International,Polynesian/Pacific Rim and Caribbean,68,281,0.3,0.1,0,2,17.6,1.9,15.3,0.6,11,"https://www.calorieking.com/recipes/Cooking-How-Tos/Cooking-Preparation-and-Basic-How-Tos/Basic-Mango-Preparation_Y2lkPTQzJnNpZD05NyZyaWQ9ODU4.html
"
Basic Rice Preparation,Pasta and Grains,Grain Dishes,106,444,0.5,0,0,3,22.2,1,1,2.3,20,"https://www.calorieking.com/recipes/Cooking-How-Tos/Cooking-Preparation-and-Basic-How-Tos/Basic-Rice-Preparation_Y2lkPTQzJnNpZD05NyZyaWQ9NTg0.html
"
Basic Soup Stock,"Soup, Stew and Chili","Warm Soup, Stew and Chili",10,42,0,0,0,0,2,0,1,0,4,"https://www.calorieking.com/recipes/Cooking-How-Tos/Cooking-Preparation-and-Basic-How-Tos/Basic-Soup-Stock_Y2lkPTQzJnNpZD05NyZyaWQ9NjI.html
"
Apple Strudel,Desserts,Cold Desserts,140,586,1.6,0.4,0,72,32.4,2.6,20.7,1.5,12,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Apple-Strudel_Y2lkPTgmc2lkPTMwJnJpZD0yNTA.html
"
Apple and Rice Pudding,Desserts,Cold Desserts,111,462,0.6,0.2,1,30,24.9,1.7,11,2.4,15,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Apple-and-Rice-Pudding_Y2lkPTgmc2lkPTMwJnJpZD0yMTk.html
"
Bavarian Rice Cloud with Bittersweet Chocolate Sauce,Desserts,Cold Desserts,165,691,4,2.5,34,25,28,1,12.4,4,76,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Bavarian-Rice-Cloud-with-Bittersweet-Chocolate-Sauce_Y2lkPTgmc2lkPTMwJnJpZD01MDQ.html
"
Bittersweet Chocolate Truffles,Desserts,Cold Desserts,139,582,10.5,5,16,25,9.7,1.3,8,1.7,24,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Bittersweet-Chocolate-Truffles_Y2lkPTgmc2lkPTMwJnJpZD03NzI.html
"
Blueberry Chocolate Clusters,Desserts,Cold Desserts,57,240,3.5,2.3,1,4,7.9,0.9,6.8,0.8,0.4,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Blueberry-Chocolate-Clusters_Y2lkPTgmc2lkPTMwJnJpZD0xMDI0.html
"
Blueberry-Mango Colada Salad,Salads and Vegetables,Salads,163,680,1.2,0.7,0,7,37.7,3.8,31.3,1.3,15,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Blueberry-Mango-Colada-Salad_Y2lkPTgmc2lkPTMwJnJpZD05NTA.html
"
Brandied Honey Grapes,Desserts,Cold Desserts,148,620,0.4,0.1,0,3,34.7,1.1,33.5,0.8,17,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Brandied-Honey-Grapes_Y2lkPTgmc2lkPTMwJnJpZD02OA.html
"
Cappuccino Mousse,Desserts,Cold Desserts,97,406,4.2,4.3,19,65,10.9,0,9.4,4,152,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Cappuccino-Mousse_Y2lkPTgmc2lkPTMwJnJpZD02Nw.html
"
Cashew Cream,Desserts,Cold Desserts,37,155,2.5,0.5,0,1,4,0.4,1.6,1,3,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Cashew-Cream_Y2lkPTgmc2lkPTMwJnJpZD0yMDk.html
"
Cherry Cola Cooler,Desserts,Cold Desserts,10,172,0,0,0,308,0.1,0,0,4,0,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Cherry-Cola-Cooler_Y2lkPTgmc2lkPTMwJnJpZD0yODg.html
"
Cherry Jubilee Parfait,Desserts,Cold Desserts,203,848,1.7,0.7,3,48,44.3,1.4,26.3,4,90,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Cherry-Jubilee-Parfait_Y2lkPTgmc2lkPTMwJnJpZD0yMjY.html
"
Chocolate Panna Cotta,Desserts,Cold Desserts,135,563,4.1,2.5,4,51,21.4,3.3,12.5,5,131,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Chocolate-Panna-Cotta_Y2lkPTgmc2lkPTMwJnJpZD04NzM.html
"
Chocolate-Glazed Pears,Desserts,Cold Desserts,334,1398,12.7,5,2,5,60,7,48,2,26,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Chocolate-Glazed-Pears_Y2lkPTgmc2lkPTMwJnJpZD02NzY.html
"
Cranberry-Banana Mold,Salads and Vegetables,Salads,80,336,0.1,0,0,61,16.6,0.7,13,1.2,5,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Cranberry-Banana-Mold_Y2lkPTgmc2lkPTMwJnJpZD04MjY.html
"
Fruit and Wisconsin Havarti Cheese Salad,Salads and Vegetables,Salads,201,840,9.8,4.1,12,197,18.8,3.3,13.9,10.7,262,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Fruit-and-Wisconsin-Havarti-Cheese-Salad_Y2lkPTgmc2lkPTMwJnJpZD04MDU.html
"
Hazelnut Fig and Fennel Bark,Desserts,Cold Desserts,99,415,6,2.9,1,17,10.5,1.4,7.9,1.1,13,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Hazelnut-Fig-and-Fennel-Bark_Y2lkPTgmc2lkPTMwJnJpZD05OTY.html
"
Heavy Cream Substitute,Desserts,Cold Desserts,131,546,2.5,1.5,15,65,20.5,0.2,3.7,5,111,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Heavy-Cream-Substitute_Y2lkPTgmc2lkPTMwJnJpZD05OTM.html
"
Honey Poached Pears with Lemon Cinnamon Ricotta,Desserts,Cold Desserts,183,764,1.6,0.9,9,67,43.1,5.3,33.1,3.7,65,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Honey-Poached-Pears-with-Lemon-Cinnamon-Ricotta_Y2lkPTgmc2lkPTMwJnJpZD05ODU.html
"
Light and Easy Pear-Strawberry Trifle,Desserts,Cold Desserts,171,716,1,0.4,4,144,38,2,27.4,4.4,121,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Light-and-Easy-Pear-Strawberry-Trifle_Y2lkPTgmc2lkPTMwJnJpZD02Nzc.html
"
Macadamia Rocky Road,Desserts,Cold Desserts,178,742,9.6,5,6,23,22.2,1.1,18.3,1.9,31,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Macadamia-Rocky-Road_Y2lkPTgmc2lkPTMwJnJpZD05MTE.html
"
Mango and Yogurt Parfait,Desserts,Cold Desserts,229,959,2,0,4,194,38,3,35,15,500,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Mango-and-Yogurt-Parfait_Y2lkPTgmc2lkPTMwJnJpZD0zNTE.html
"
Melon with Kiwano Melon Sauce,Desserts,Cold Desserts,50,209,0.2,0,0,11,11,1,8,1,9,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Melon-with-Kiwano-Melon-Sauce_Y2lkPTgmc2lkPTMwJnJpZD00Mjc.html
"
Mexican Fruit Salad,Salads and Vegetables,Salads,110,460,0.6,0.1,0,157,27.9,3.1,22.6,1.4,27,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Mexican-Fruit-Salad_Y2lkPTgmc2lkPTMwJnJpZD05NzA.html
"
Mocha Mousse,Desserts,Cold Desserts,139,582,1.9,0.2,15,112,22.8,0.8,21.1,8.8,246,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Mocha-Mousse_Y2lkPTgmc2lkPTMwJnJpZD0xNzA.html
"
Old-Fashioned Blueberry Whip,Desserts,Cold Desserts,77,323,2.1,1.9,0,56,13.1,1.2,7,1.4,3,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Old-Fashioned-Blueberry-Whip_Y2lkPTgmc2lkPTMwJnJpZD04MjU.html
"
Pumpkin Pie Pudding,Desserts,Cold Desserts,68,285,0.4,1,8,390,12.7,0.7,5,3.3,116,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Pumpkin-Pie-Pudding_Y2lkPTgmc2lkPTMwJnJpZD00NzI.html
"
Red Bananas with Fruit Salsa,Desserts,Cold Desserts,207,867,2.2,0.3,0,4,49.4,5,34.3,2.5,33,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Red-Bananas-with-Fruit-Salsa_Y2lkPTgmc2lkPTMwJnJpZD00Mzc.html
"
Ricotta Cream,Desserts,Cold Desserts,14,59,0.6,0.4,3,13,0.8,0,0.5,1.3,29,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Ricotta-Cream_Y2lkPTgmc2lkPTMwJnJpZD04Mg.html
"
Ricotta with Honey and Raspberry,Desserts,Cold Desserts,202,840,7.7,4.5,45,165,18,2.3,15.6,15.4,510,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Ricotta-with-Honey-and-Raspberry_Y2lkPTgmc2lkPTMwJnJpZD01MzE.html
"
Rum and Ricotta Tiramisu,Desserts,Cold Desserts,159,663,2.6,1.1,58,275,19.9,0.7,3.6,11.4,169,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Rum-and-Ricotta-Tiramisu_Y2lkPTgmc2lkPTMwJnJpZD0zNzY.html
"
Skinny Strawberry Shortcake,Desserts,Cold Desserts,170,712,2,1.6,0,425,29.6,2,5,6,76,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Skinny-Strawberry-Shortcake_Y2lkPTgmc2lkPTMwJnJpZD0zMTY.html
"
Spiced Cranberry Pears,Desserts,Cold Desserts,127,529,0.1,0,0,11,31.8,2.9,25,0.5,15,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Spiced-Cranberry-Pears_Y2lkPTgmc2lkPTMwJnJpZD0zOTc.html
"
Star-Spangled Blueberry Parfaits,Desserts,Cold Desserts,182,759,2.6,0.8,2,182,36.8,1.4,24.3,3.6,78,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Star-Spangled-Blueberry-Parfaits_Y2lkPTgmc2lkPTMwJnJpZD04ODg.html
"
Stone Fruit Trifle,Desserts,Cold Desserts,237,992,2.1,0.5,40,162,45.4,2.1,33.6,8.9,214,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Stone-Fruit-Trifle_Y2lkPTgmc2lkPTMwJnJpZD0xMjk.html
"
Strawberry Cheesecake in a Glass,Desserts,Cold Desserts,289,1209,4,4.2,5,439,51,4.5,28,12,159,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Strawberry-Cheesecake-in-a-Glass_Y2lkPTgmc2lkPTMwJnJpZD01NDg.html
"
Strawberry Tiramisu,Desserts,Cold Desserts,250,1047,13,5,105,200,28,1,17.5,7,46,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Strawberry-Tiramisu_Y2lkPTgmc2lkPTMwJnJpZD02MTM.html
"
Summer Berry and Apple Cups,Desserts,Cold Desserts,233,975,2.5,0.5,0,285,48,5.5,20,6.8,127,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Summer-Berry-and-Apple-Cups_Y2lkPTgmc2lkPTMwJnJpZD0zNDk.html
"
Summer Fruits Compote,Desserts,Cold Desserts,290,1210,1,0,0,8,75,3,37.7,2,21,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Summer-Fruits-Compote_Y2lkPTgmc2lkPTMwJnJpZD05MA.html
"
Sweet Fruit Sushi Rolls,Desserts,Cold Desserts,252,1055,4,0.6,2,87,52,3,17,6,87,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Sweet-Fruit-Sushi-Rolls_Y2lkPTgmc2lkPTMwJnJpZD0zNTU.html
"
Vanilla Custard,"Sauces, Dressings, Condiments, Creams","Sauces, Gravy and Condiments",30,126,1.2,0.4,53,13,3.2,0,3.1,1.4,32,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Vanilla-Custard_Y2lkPTgmc2lkPTMwJnJpZD04NQ.html
"
Whipped Tofu Topping,Desserts,Cold Desserts,27,114,0.7,0.1,0,9,3.7,0.1,3.4,1.7,8.4,"https://www.calorieking.com/recipes/Desserts/Cold-Desserts/Whipped-Tofu-Topping_Y2lkPTgmc2lkPTMwJnJpZD0yMTA.html
"
Avocado and Mint Ice Cream,Desserts,Frozen Desserts,212,886,14.9,2.2,1,70,17.8,7.3,8.5,6,79,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Avocado-and-Mint-Ice-Cream_Y2lkPTgmc2lkPTMyJnJpZD04MDA.html
"
Banana Fudge Sundae,Desserts,Frozen Desserts,213,888,1.2,1.1,0,58,49.5,4.8,29.7,3.9,103,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Banana-Fudge-Sundae_Y2lkPTgmc2lkPTMyJnJpZD0zNDY.html
"
Black Grape Sorbet,Desserts,Frozen Desserts,163,682,1,0,0,3,41,1.6,35,1,27,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Black-Grape-Sorbet_Y2lkPTgmc2lkPTMyJnJpZD01NjA.html
"
"Blueberry-Citrus Sorbet ""Layer Cake""",Desserts,Frozen Desserts,130,543,4.8,0.5,0,11,29.9,8.4,6.3,1.3,8.3,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Blueberry-Citrus-Sorbet-Layer-Cake_Y2lkPTgmc2lkPTMyJnJpZD04OTY.html
"
Frozen Individual Christmas Puddings,Desserts,Frozen Desserts,351,1470,9.1,2.9,20,103,63.8,3.2,31.7,6,177,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Frozen-Individual-Christmas-Puddings_Y2lkPTgmc2lkPTMyJnJpZD0zNzI.html
"
Frozen Mango Yogurt,Desserts,Frozen Desserts,134,561,1,0.4,33,145,27,1,25,6,174,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Frozen-Mango-Yogurt_Y2lkPTgmc2lkPTMyJnJpZD00NzY.html
"
Holiday Ice Cream,Desserts,Frozen Desserts,167,698,5.6,2.4,14,34,27.6,1.5,14.8,3,52,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Holiday-Ice-Cream_Y2lkPTgmc2lkPTMyJnJpZD05Mjc.html
"
Mango Sorbet,Desserts,Frozen Desserts,45,188,0.2,0.1,0,15,10.9,1.1,9.3,1.2,7,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Mango-Sorbet_Y2lkPTgmc2lkPTMyJnJpZD03NQ.html
"
Melon Sorbet,Desserts,Frozen Desserts,101,423,2,0.3,0,19,21,0.8,19,3,106,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Melon-Sorbet_Y2lkPTgmc2lkPTMyJnJpZD03MjE.html
"
Passion Fruit Ice Cream,Desserts,Frozen Desserts,78,327,1.1,0,10,85,11.8,1.6,9.3,5,163,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Passion-Fruit-Ice-Cream_Y2lkPTgmc2lkPTMyJnJpZD03NA.html
"
Pear and Vanilla Yogurt Sorbet,Desserts,Frozen Desserts,169,707,1,0.4,2,52,38,2,36,3,88,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Pear-and-Vanilla-Yogurt-Sorbet_Y2lkPTgmc2lkPTMyJnJpZD0xNjg.html
"
Rum Raisin Ice Cream,Desserts,Frozen Desserts,101,420,1.1,0,10,81,15.8,0.5,13.3,5,167,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Rum-Raisin-Ice-Cream_Y2lkPTgmc2lkPTMyJnJpZD03Mg.html
"
Strawberry Swirl Ice Cream,Desserts,Frozen Desserts,77,320,1.1,0,10,81,11.2,0.8,9.6,4.9,167,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Strawberry-Swirl-Ice-Cream_Y2lkPTgmc2lkPTMyJnJpZD03Mw.html
"
Tropical Mango Sorbet,Desserts,Frozen Desserts,81,339,0.3,0.1,0,2,20.7,1.5,18,0.5,13,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Tropical-Mango-Sorbet_Y2lkPTgmc2lkPTMyJnJpZD05NjE.html
"
Vanilla Ice Cream,Desserts,Frozen Desserts,55,229,1,0,10,78,6.1,0,6.1,4.5,158,"https://www.calorieking.com/recipes/Desserts/Frozen-Desserts/Vanilla-Ice-Cream_Y2lkPTgmc2lkPTMyJnJpZD03MQ.html
"
Apple and Raspberry Custard Crumble,Desserts,Warm Desserts,277,1160,1,0.3,0,47,63,7,40,4,124,"https://www.calorieking.com/recipes/Desserts/Warm-Desserts/Apple-and-Raspberry-Custard-Crumble_Y2lkPTgmc2lkPTMxJnJpZD0xNjk.html
"
Banana and Apple Compote,Desserts,Warm Desserts,166,692,0.7,0.3,0,17,38.7,3.2,26.5,2.1,52,"https://www.calorieking.com/recipes/Desserts/Warm-Desserts/Banana-and-Apple-Compote_Y2lkPTgmc2lkPTMxJnJpZD04Mw.html
"
